Date,X_00060_00003,X_99133_00003
8/18/13,27.1,1.98
8/19/13,25,1.8
8/20/13,22.6,1.16
8/21/13,22,0.83
8/22/13,21.8,0.78
8/23/13,21.6,0.7
8/24/13,24.7,0.48
8/25/13,26.6,0.88
8/26/13,22.5,1.32
8/27/13,20.9,1.41
8/28/13,20.2,1.08
8/29/13,19.5,0.31
8/30/13,18.6,0.45
8/31/13,18.7,0.37
9/1/13,20.5,0.21
9/2/13,18.9,0.31
9/3/13,17.7,0.82
9/4/13,18,0.91
9/5/13,19.2,1.09
9/6/13,20.4,1.41
9/7/13,18.7,1.61
9/8/13,18.6,1.28
9/9/13,18.5,0.28
9/10/13,17.5,0.41
9/11/13,17,1.31
9/12/13,14,1.89
9/13/13,12.9,2.47
9/14/13,12.9,2.74
9/15/13,12.8,3.11
9/16/13,12.5,3.23
9/17/13,13.9,2.81
9/18/13,15,3.21
9/19/13,15.5,4.14
9/20/13,17.1,5.16
9/21/13,16.5,5.79
9/22/13,14.4,5.6
9/23/13,13.3,5.67
9/24/13,13.2,5.76
9/25/13,13.3,6.13
9/26/13,12.4,6.07
9/27/13,12.2,5.67
9/28/13,15.3,5.14
9/29/13,15.1,5
9/30/13,13.2,4.85
10/1/13,11.9,5.09
10/2/13,11.5,5.07
10/3/13,12.2,4.88
10/4/13,18.1,5.42
10/5/13,23.3,5.31
10/6/13,20.5,6.34
10/7/13,20.5,6.1
10/8/13,19.5,5.52
10/9/13,18.3,5.2
10/10/13,17.2,6.08
10/11/13,15.9,7.52
10/12/13,14.5,8.35
10/13/13,14.5,7.94
10/14/13,17.4,7.17
10/15/13,29.5,5.76
10/16/13,29.8,4.08
10/17/13,40.3,6.11
10/18/13,33.2,8.49
10/19/13,23.6,8.42
10/20/13,21,9.69
10/21/13,17.3,9.26
10/22/13,15.2,6.3
10/23/13,16,4.13
10/24/13,20,3.64
10/25/13,19.7,5.33
10/26/13,18.4,6.48
10/27/13,18.2,8.12
10/28/13,17.3,9.47
10/29/13,19.7,9.55
10/30/13,22.9,10.6
10/31/13,20.4,11
11/1/13,18.9,11.4
11/2/13,17.3,11
11/3/13,18.3,10
11/4/13,16.8,8.74
